GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36029000110,36029000110,"Census Tract 1.10, Erie County, New York",2934,348,2220,290,1886,279,217,177,1,2,26,29,0,11,0,11,90,60,7,10,83,59,714,323,156,120,0,11,0,11,0,11,0,11,448,286,110,101,110,101,0,11
1400000US36029000200,36029000200,"Census Tract 2, Erie County, New York",4146,441,3541,438,2985,428,218,153,0,11,140,115,25,34,0,11,173,111,0,11,173,111,605,204,290,126,6,9,0,11,0,11,0,11,192,149,117,143,106,142,11,16
1400000US36029000500,36029000500,"Census Tract 5, Erie County, New York",1971,307,1596,289,1555,293,0,11,5,8,0,11,0,11,0,11,36,30,0,11,36,30,375,231,127,107,20,21,0,11,0,11,0,11,89,68,139,149,98,139,41,60
1400000US36029000600,36029000600,"Census Tract 6, Erie County, New York",4686,450,4414,496,4072,466,317,397,0,11,0,11,0,11,0,11,25,35,0,11,25,35,272,221,24,39,130,172,0,11,0,11,0,11,80,133,38,61,0,11,38,61
1400000US36029000700,36029000700,"Census Tract 7, Erie County, New York",3659,284,3588,283,3511,286,21,21,0,11,56,51,0,11,0,11,0,11,0,11,0,11,71,43,44,33,0,11,0,11,0,11,0,11,13,15,14,20,14,20,0,11
1400000US36029000800,36029000800,"Census Tract 8, Erie County, New York",4603,509,4367,481,4242,495,67,76,45,62,13,21,0,11,0,11,0,11,0,11,0,11,236,160,137,133,22,33,0,11,11,16,0,11,58,83,8,12,8,12,0,11
1400000US36029000900,36029000900,"Census Tract 9, Erie County, New York",2485,217,2199,245,2087,235,59,70,0,11,0,11,0,11,0,11,53,84,0,11,53,84,286,156,145,111,0,11,0,11,0,11,0,11,90,71,51,80,51,80,0,11
1400000US36029001000,36029001000,"Census Tract 10, Erie County, New York",5679,630,5508,629,4665,614,496,275,83,108,97,135,0,16,0,16,167,118,0,16,167,118,171,122,157,120,0,16,0,16,0,16,0,16,14,22,0,16,0,16,0,16
1400000US36029001100,36029001100,"Census Tract 11, Erie County, New York",2843,277,2608,281,2416,259,74,73,0,11,101,85,0,11,0,11,17,22,0,11,17,22,235,133,35,36,48,58,11,17,0,11,0,11,141,118,0,11,0,11,0,11
